title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
Favorite Country Song,HARDY,90,4,2025-11-08,Country,country; country pop,musicbrainz
Bigger Houses,Dan + Shay,91,1,2025-01-25,Jazz/Blues,blues,musicbrainz
Hometown Home,LoCash,91,2,2025-04-12,Country,country,musicbrainz
Forever To Me,Cole Swindell,91,1,2025-05-03,Jazz/Blues,blues,musicbrainz
Nope Your Too Late I Already Died,wifiskeleton & i wanna be a jack-o-lantern,91,1,2025-05-24,Hip Hop/Rap,emo rap; hyperpop; sigilkore; trap,musicbrainz
"Oh, What A Wretched Man I Am!",$uicideboy$,91,1,2025-08-16,Unknown,No genre data,none
Let Down,Radiohead,91,12,2025-08-30,Rock,alternative rock; art rock; rock; british; experimental rock,musicbrainz
Lover Girl,Laufey,91,1,2025-09-06,Pop,jazz pop; singer-songwriter; bossa nova; easy listening; jazz,musicbrainz
She Ready,Key Glock,91,4,2025-09-13,Hip Hop/Rap,gangsta rap; hip hop; southern hip hop; trap,musicbrainz
Loser,Tame Impala,91,1,2025-11-01,Rock,psychedelic rock; neo-psychedelia; psychedelic pop; alternative rock; synth-pop,musicbrainz
"3,2,1",Tucker Wetmore,92,5,2025-05-10,Unknown,No genre data,none
The Birds Don't Sing,Clipse Featuring John Legend & Voices Of Fire,92,1,2025-07-26,Unknown,No genre data,none
Principal,Cardi B Featuring Janet Jackson,92,1,2025-10-04,Unknown,No genre data,none
Dusty Bibles,Josiah Queen,92,1,2025-11-01,Contemporary Christian,contemporary christian,musicbrainz
Killah,Lady Gaga Featuring Gesaffelstein,93,1,2025-03-22,Unknown,No genre data,none
Cotton Candy,Lil Wayne & 2 Chainz,93,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
Shyne,Travis Scott & Glorilla,93,1,2025-07-26,Unknown,No genre data,none
Country Song Came On,Luke Bryan,93,3,2025-08-16,Unknown,No genre data,none
Amor,Emmanuel Cortes,93,2,2025-11-08,Unknown,No genre data,none
Come N Go,Yeat,93,2,2025-11-15,Hip Hop/Rap,cloud rap; experimental hip hop; hip hop; rage; trap,musicbrainz
Ends Of The Earth,Ty Myers,94,1,2025-01-11,Unknown,No genre data,none
Shaking When I Pray,Lil Durk,94,1,2025-04-12,Unknown,No genre data,none
Somebody,Latto,94,3,2025-08-16,Hip Hop/Rap,pop rap; trap,musicbrainz
DJ's Chord Organ,Mac Miller Featuring SZA,95,1,2025-02-01,Unknown,No genre data,none
